"44628188";"0001";"92";"1";"TIGRINHOS EDUCACAO INFANTIL BILINGUE";"02";"20051103";"00";"";"";"19730903";"8512100";"8511200";"RUA";"LUMEN CHRISTI";"120";"";"JARDIM DAS PAINEIRAS";"13092320";"SP";"6291";"19";"32546336";"";"";"";"";"RAFAEL@BARRETOLEME.COM.BR";"";""
"07349468";"0001";"35";"1";"SCHAUREN BAR, LANCHERIA E MINIMERCADO";"02";"0";"00";"";"";"20050329";"5611204";"5611203,4712100,4729601";"RUA";"PE MATIAS";"406";"";"CRISTO REI";"95775000";"RS";"7321";"51";"96812829";"";"";"";"";"";"";""
"25405580";"0001";"28";"1";"MACEDO MOTORBOMBAS";"04";"20190131";"63";"";"";"19930917";"4774100";"";"PRACA";"DR PRADO";"201";"";"CENTRO";"39100000";"MG";"4431";"";"";"";"";"";"";"";"";""
"62534730";"0001";"20";"1";"";"02";"20051103";"00";"";"";"19900314";"4751201";"9511800";"AVENIDA";"NOVA CANTAREIRA";"1984";"SALA: 93;";"TUCURUVI";"02330003";"SP";"7107";"11";"38515619";"11";"38510962";"11";"38515619";"CAYRO@TERRA.COM.BR";"";""
"80969025";"0001";"37";"1";"LADRITEL TELAS PARA ALAMBRADOS E LADRILHOS";"08";"20010305";"54";"";"";"19881111";"2399101";"";"RUA";"JOAO CRUZ E SILVA";"S/N";"";"ESTREITO";"88070260";"SC";"8105";"";"";"";"";"";"";"";"";""
"25409384";"0001";"21";"1";"";"03";"20150118";"21";"";"";"19880831";"8130300";"";"RUA";"RIO DE JANEIRO";"195";"SALA 509";"CENTRO";"30160040";"MG";"4123";"";"";"";"";"";"";"";"";""
"80971302";"0001";"46";"1";"";"08";"19890725";"01";"";"";"19881118";"5611203";"";"RUA";"SEBASTIAO BECKER";"230";"";"RIO DAS ANTAS";"89380000";"SC";"8217";"";"";"";"";"";"";"";"";""
"44641348";"0001";"33";"1";"";"04";"20190206";"63";"";"";"19800923";"4712100";"";"RUA";"QUATRO DE JUNHO";"183";"";"CENTRO";"18260000";"SP";"6911";"";"";"";"";"";"";"";"";""
"07350395";"0001";"00";"1";"S O S ALUGUEL VIDEO";"04";"20181002";"63";"";"";"20050425";"7722500";"";"PRACA";"SANTO ANTONIO";"330";"TERREO";"CONQUISTA";"45650150";"BA";"3573";"";"";"";"";"";"";"";"";""
"07350533";"0001";"42";"1";"";"04";"20190118";"63";"";"";"20050429";"4511102";"";"RUA";"VERISSIMO";"505";"";"SAO BENEDITO";"38022090";"MG";"5401";"";"";"";"";"";"";"";"";""
"80975451";"0001";"83";"1";"";"02";"20041030";"00";"";"";"19881202";"1412601";"1412603";"RUA";"VINTE DE MAIO";"71";"";"CENTRO";"88830000";"SC";"8219";"";"";"";"";"";"";"";"";""
"25416454";"0001";"79";"1";"";"08";"19911002";"01";"";"";"19880901";"4774100";"";"AVENIDA";"BRASIL";"288";"";"SANTA EFIGENIA";"30670565";"MG";"4123";"";"";"";"";"";"";"";"";""
"07351008";"0001";"41";"1";"";"02";"0";"00";"";"";"20050418";"4711302";"";"AVENIDA";"ZULMIRA ROSA ANTUNES";"740";"";"JARDIM DAS OLIVEIRAS";"29230000";"ES";"5607";"";"";"";"";"";"";"";"";""
"62548938";"0001";"06";"1";"AUTO PECAS FERNANDO";"02";"20011201";"00";"";"";"19900323";"4530701";"4530703";"RUA";"FRATERNO DE MELO ALMADA";"105";"";"SAO JOAO CLIMACO";"04256140";"SP";"7107";"11";"22731565";"";"";"";"";"WILFAT.CONT@GMAIL.COM";"";""
"07351214";"0001";"51";"1";"";"02";"0";"00";"";"";"20050328";"4712100";"";"RUA";"PROPERCIO FERRAREZI";"686";"";"SAO FRANCISCO";"15086170";"SP";"7097";"";"";"";"";"";"";"";"";""
"44657930";"0001";"98";"1";"";"08";"20090318";"01";"";"";"19740205";"8888888";"";"RUA";"ANGELO LUTIERZO";"201";"";"PARQUE BRASILIA";"13211170";"SP";"6619";"";"";"";"";"";"";"";"";""
"80982697";"0001";"82";"1";"";"02";"20031004";"00";"";"";"19881214";"6810202";"7020400,6810201,6462000";"RUA";"NEREU RAMOS";"989";"SALA  901";"JARDIM BLUMENAU";"89010401";"SC";"8047";"47";"33220680";"";"";"";"";"";"";""
"44661585";"0001";"66";"1";"";"08";"20140924";"01";"";"";"19800924";"4120400";"4299501";"RUA";"DOUTOR OLAVO EGIDIO";"764";"";"BAIRRO SANTANA";"02037001";"SP";"7107";"";"";"";"";"";"";"";"";""
